SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
LN-9300,Walk In Medical Clinics,28564403,Chilliwack Division of Family Practice,38012442,Chilliwack Youth Health Centre,"Provides free, drop-in medical health, mental health and social services to youth and young adults, in a youth-friendly, safe, confidential and non-judgmental environment. Family doctors and counsellors are available to provide all aspects of medical, sexual, and mental health care needs. Issues can range anywhere from acne to sexual health to counselling for issues related to anxiety, depression, stress, substance use, gender identity, family conflict, peer conflict, and school and life planning. Provides referrals to community resources as necessary.",38012467,38012408,18448272473,www.chilliwackyhc.com,chilliwackyouthhealthcentre@gmail.com,N,,Tue 14:00 - 17:00; Psychiatrist available every second Tuesday; call for availability.,"7201 Vedder Road, Building #7",,,,Chilliwack,BC,V2R 4G5,49.13614,-121.965645,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=38012442&SiteResourceAgencyNum=38012408
LN-9300,Walk In Medical Clinics,17658226,Pitt Meadows Walk-In Clinic Ltd,17658227,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered every day of the week.,38358446,38358443,6044654911,,,N,,Mon 09:00 - 21:00; Tue 09:00 - 21:00; Wed 09:00 - 21:00; Thu 09:00 - 21:00; Fri 09:00 - 21:00; Sat 09:00 - 19:00; Sun 09:00 - 17:00; Statutory holiday hours: 09:00-17:00. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,105-19070 Lougheed Highway,,,,Pitt Meadows,BC,V3Y QM6,,,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17658227&SiteResourceAgencyNum=38358443
LN-9300,Walk In Medical Clinics,17657516,Coast Medical,17657517,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. Saturday and Sunday hours also available. Please see specific location for details.,34802760,34802755,,coastmedical.ca,coastmedicalfalsecreek@hotmail.com,N,,Mon 10:00 - 18:00; Tue 10:00 - 18:00; Wed 10:00 - 18:00; Thu 10:00 - 18:00; Fri 10:00 - 18:00; Sat 10:00 - 16:00; Sun 10:00 - 16:00;,1681 Manitoba Street,,,,Vancouver,BC,V5Y 0B8,49.270773,-123.1069,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17657517&SiteResourceAgencyNum=34802755
LN-9300,Walk In Medical Clinics,34934843,Foothills Medical Clinic,34934854,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also available.,34934864,34934852,7782855859,www.foothillmedicalclinic.com,foothillsmedicalclinic2223@gmail.com,N,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 13:00; Sun 09:00 - 13:00; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time. Please call ahead for statutory holiday hours.,203-3387 David Avenue,,,,Coquitlam,BC,V3E 0K4,49.293373,-122.755466,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=34934854&SiteResourceAgencyNum=34934852
LN-9300,Walk In Medical Clinics,17661889,Vivacare,17661890,Walk-in Clinic,"Provides non-emergency health care services on a walk-in basis. Includes a family practice. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory holiday hours may also be available. Please see specific location for details.",38359437,38359429,6043922000,www.vivacare.ca,,N,,Mon 08:00 - 17:00; Tue 08:00 - 17:00; Wed 08:00 - 17:00; Thu 08:00 - 17:00; Fri 08:00 - 17:00; Sat 09:00 - 14:00; Please call ahead for statutory holiday hours. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,46198 Yale Road,,,,Chilliwack,BC,V2P 2P1,49.171409,-121.950672,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17661890&SiteResourceAgencyNum=38359429
LN-9300,Walk In Medical Clinics,36762034,Clover Hill Clinic,36762046,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. Includes a family practice.,36762063,36762042,6043723386,www.cloverhillclinic.ca,,N,,Mon 09:00 - 17:00; Tue 09:00 - 16:00; Wed 09:00 - 17:00; Thu 09:00 - 16:00; Fri 09:00 - 17:00; Sat 09:00 - 12:00; Closed statutory holidays. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,111-18438 64th Avenue,,,,Surrey,BC,V3S 1E9,49.118621,-122.711404,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=36762046&SiteResourceAgencyNum=36762042
LN-9300,Walk In Medical Clinics,17658349,Khatsahlano Medical Clinics,17658355,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis. Saturday and Sunday hours also available.,39335068,39335058,2504786242,www.khatsclinic.ca,,N,,Mon 08:00 - 17:00; Tue 08:00 - 17:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 08:00 - 18:00; Sat 09:00 - 18:00; Sun 10:00 - 18:00; Please note that hours are subject to physician availability; call to confirm.,105-582 Goldstream Avenue,,,,Victoria,BC,V9B 2W7,48.446751,-123.487067,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17658355&SiteResourceAgencyNum=39335058
LN-9300,Walk In Medical Clinics,17658312,Taku River Tlingit First Nation,17658316,Health Support Services,"Provides general health information, immunization clinics, and referrals to health clinics for Taku River Tlingit First Nation members. Offers intermediary liaison services between medical professionals/healthcare providers and the Aboriginal population to assist communication of patient programs, options, and personal health issues.",17658317,17658314,2506517935,,,N,,Mon 08:30 - 17:00; Tue 08:30 - 17:00; Wed 08:30 - 17:00; Thu 08:30 - 17:00; Fri 08:30 - 17:00;,25 Taku Drive,,,,Atlin,BC,V0W 1A0,59.571484,-133.689945,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17658316&SiteResourceAgencyNum=17658314
LN-9300,Walk In Medical Clinics,17662618,Gabriola Medical Clinic,17662619,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis. Includes a family practice.,17662621,17662620,2502479922,www.ghcs.ca,,Y,,Mon 09:00 - 17:00; Tue 09:00 - 17:00; Wed 09:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00; Please note that hours are subject to physician availability and patient volume.,695 Church Street,,,,Gabriola Island,BC,V0R 1X3,49.175842,-123.835308,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17662619&SiteResourceAgencyNum=17662620
LN-9300,Walk In Medical Clinics,17655841,Sandspit Medical Clinic,17655842,Nursing Station,Provides medical services from a registered nurse on a walk-in basis with weekly 4 hour visits from a physician.,17655844,17655843,2506375403,,,N,,Mon 08:30 - 15:45; Tue 08:30 - 15:45; Wed 08:30 - 15:45; Thu 08:30 - 15:45; Fri 08:30 - 15:45; Hours are subject to physician availability and patient volume. Station may stop accepting patients prior to the listed closing time.,403 Copper Bay Road,,,,Sandspit,BC,V0T 1T0,53.243312,-131.817065,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17655842&SiteResourceAgencyNum=17655843
LN-9300,Walk In Medical Clinics,17657911,Park Royal Village Medical Centre,17657912,Park Royal Village Medical Centre,"Provides non-emergency health care services on a walk-in basis, no appointment is necessary. Offers general medical services, which may include general examinations for colds, flu, sore throat, sinus infections, minor cuts and abrasions, minor injuries, sprains, minor skin disorders and rashes and low-grade fevers. Provides preventative care, vaccinations and allergy shots as well as minor emergency treatment. All services may not be available, please call to confirm. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also available. Also includes a family medical practice.",17657914,17657913,6049227372,,,N,English,Mon 09:00 - 21:00; Tue 09:00 - 21:00; Wed 09:00 - 21:00; Thu 09:00 - 21:00; Fri 09:00 - 21:00; Sat 09:00 - 17:00; Sun 10:00 - 16:00;,925 Main Street,,,,West Vancouver,BC,V7T 2Z3,49.325187,-123.142718,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17657912&SiteResourceAgencyNum=17657913
LN-9300,Walk In Medical Clinics,17657984,Jubilee Medical Clinic and Treatment Centre,17657985,Primary Health Care,"Provides general medical services on a walk-in basis. Services include, but are not limited to: testing/diagnostic procedures; lab tests; preventative care; health referrals; general exams. Evening clinic hours offered Monday - Thursday. Saturday and statutory holiday hours also available.",17657987,17657986,2505923441,http://jubileemedicalclinic.com/,,Y,,"Mon - Thu, 9 a.m. - 8 p.m.; Fri, 9 a.m. - 5 p.m.; Sat, statutory holidays, 9 a.m. - 1 p.m.",1902 Richmond Road,,,,Victoria,BC,V8R 4Y2,48.429647,-123.330171,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17657985&SiteResourceAgencyNum=17657986
LN-9300,Walk In Medical Clinics,17652115,Seabird Island Indian Band,17652132,Seabird Island Doctors' Office,"Provides primary health care services to the large First Nations population in the Fraser Valley. Services include physician and nursing care, walk-in clinic, an optometry clinic, nutrition counselling, diabetes screening, maternity care, audiology services and home and community care.",17652133,17652117,6047962165,http://www.seabirdisland.ca/page/doctors-office,kristimcneil@seabirdisland.ca,Y,English,"Appointments available Mon - Fri.  Walk-in clinic, Tue, 1 p.m. - 4 p.m.",2895 Chowat Road,,,,Agassiz,BC,V0M 1A0,49.255136,-121.73034,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17652132&SiteResourceAgencyNum=17652117
LN-9300,Walk In Medical Clinics,17648936,Vancouver Coastal Health,17648974,UBC Student Health Services,"Offers confidential walk-in primary health care services to UBC students. Treats common medical conditions such as gynecological issues, birth control, sexually transmitted diseases, sports injuries, infections, immunization needs and emotional problems. In addition, access to many medical specialists is provided. Specialist clinics actually held in the health service include psychiatry, plastic surgery, dermatology, orthopedics, sports medicine, and ear-nose-throat. Appointments recommended. Call for an appointment, or visit the website for online appointment booking.",17648976,17648975,6048227011,http://www.students.ubc.ca/livewelllearnwell/index.cfm,student.health@ubc.ca,Y,English,"Mon - Fri, 7:50 a.m. - 4 p.m.; Well-Women exams only Wed, 4 p.m. - 8 p.m. (Sept-April)",2211 Wesbrook Mall,,,,Vancouver,BC,V6T 2B5,49.265082,-123.244573,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648974&SiteResourceAgencyNum=17648975
LN-9300,Walk In Medical Clinics,17652139,Northern Health Authority,20585704,Unattached Patient Clinic,"Provides access to physician, nurse practitioner, nurse, and mental health and addiction clinician services to individuals without a family physician. A team based care approach offering same day, first come first serve appointments via pre-booking.",20585710,20585701,2502625210,http://www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=95,,N,,Mon 09:00 - 16:30; Tue 09:00 - 16:30; Wed 09:00 - 16:30; Thu 09:00 - 16:30; Fri 09:00 - 16:30; Closed statutory holidays.,10011 96th Street,,,,Fort St John,BC,V1J 3P3,56.24657,-120.840216,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=20585704&SiteResourceAgencyNum=20585701
LN-9300,Walk In Medical Clinics,17636602,Vancouver Native Health Society,17636606,Vancouver Native Health Walk-in Clinic,"Provides health care services on a first-come, first-served basis for residents of the downtown eastside and Aboriginal People from anywhere. Services include primary medical and nursing care, specialty consultation in infectious disease and ophthalmology, methadone maintenance, addictions counselling, diabetes education program, phlebotomy and limited medication dispensing. Clients may or may not have medical coverage, may be receiving income assistance, and/or may be new to Vancouver. Evening clinic hours offered Monday - Thursday. Saturday and Sunday hours also available.",17636608,17636607,6042559766,http://www.vnhs.net,clinic@vnhs.net,N,English,"Mon - Thu, 9:30 a.m. - 8:30 p.m.; Fri - Sun, 9:30 a.m. - 5 p.m.; Closed Statutory Holidays.",449 E. Hastings Street,,,,Vancouver,BC,V6A 1P5,49.281238,-123.09433,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636606&SiteResourceAgencyNum=17636607
LN-9300,Walk In Medical Clinics,17658116,Tsay Keh Dene Indian Band,17658117,Walk-In Clinic,"Provides non-emergency health care services on a walk-in basis. Services include STD, HIV, and tuberculosis testing; prenatal care and well-baby programs; infant and child, travel, and Influenza vaccinations; general examinations, physical assessments, and referrals.",17658119,17658118,2509932181,,,N,,Mon 09:00 - 16:00; Tue 09:00 - 16:00; Wed 09:00 - 16:00; Thu 09:00 - 16:00; Fri 09:00 - 16:00; Please note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients prior to the listed closing time.,10 Main Street,,,,Tsay Keh Dene,BC,V0J 2C0,56.906111,-124.965,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17658117&SiteResourceAgencyNum=17658118
LN-9300,Walk In Medical Clinics,17661889,Vivacare,17661890,Walk-in Clinic,"Provides non-emergency health care services on a walk-in basis. Includes a family practice. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory holiday hours may also be available. Please see specific location for details.",17661896,17661895,6045838482,www.vivacare.ca,,N,,Mon 07:00 - 19:00; Tue 08:30 - 15:00; Wed 07:00 - 17:00; Thu 07:00 - 19:00; Fri 07:30 - 14:30; Sat 07:30 - 16:00; Sun 08:30 - 15:00; Please call ahead for statutory holiday hours. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,1000 Guildford Town Centre,,,,Surrey,BC,V3R 1N3,49.188825,-122.804342,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17661890&SiteResourceAgencyNum=17661895
LN-9300,Walk In Medical Clinics,17660491,Well Medical Clinic,17660492,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening hours may be available Monday - Friday. Saturday hours also available. Please call for clinic availability.,17660494,17660493,6049372520,,,Y,,Mon 09:00 - 18:00; Tue 09:00 - 18:00; Wed 09:00 - 18:00; Thu 09:00 - 18:00; Fri 09:00 - 18:00; Sat 09:00 - 14:00; Please call for walk-in clinic availability as hours vary day to day. Clinic may be open until 21:00 on some weeknights depending on doctor availability.,1001 Austin Avenue,,,,Coquitlam,BC,V3J 3N9,49.249007,-122.867352,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17660492&SiteResourceAgencyNum=17660493
LN-9300,Walk In Medical Clinics,17641393,Burnside Family Medical Clinic,17641394,Walk-In Clinic,"Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available.",17641396,17641395,2503814353,www.burnsideclinic.ca,,N,,"Mon 07:30 - 21:00; Tue 07:30 - 21:00; Wed 07:30 - 21:00; Thu 07:30 - 21:00; Fri 07:30 - 21:00; Sat 09:00 - 18:00; Sun 09:30 - 18:00; Holidays, 09:00 - 18:00; Hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.",101 Burnside W,,,,Victoria,BC,V9A 1B7,48.45081,-123.387382,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17641394&SiteResourceAgencyNum=17641395
LN-9300,Walk In Medical Clinics,17640735,Denning Health Group,17640736,Walk-In Clinic,"Provides non-emergency health care services on a walk-in basis. May include a family practice, weekend, and evening clinic hours. Please see specific location for details.",17640738,17640737,6049510885,www.denninghealth.ca/contact/locations/surrey-central-city/,info@denninghealth.ca,N,,Mon 08:00 - 21:00; Tue 08:00 - 21:00; Wed 08:00 - 21:00; Thu 08:00 - 21:00; Fri 09:00 - 21:00; Sat 08:30 - 18:00; Sun 08:30 - 14:30; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,10153 King George Boulevard,,,,Surrey,BC,V3T 2W1,49.186983,-122.845564,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=17640737
LN-9300,Walk In Medical Clinics,17657516,Coast Medical,17657517,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. Saturday and Sunday hours also available. Please see specific location for details.,17657521,17657520,,coastmedical.ca,manager@coastmedical.ca,N,,Mon 09:00 - 21:00; Tue 09:00 - 21:00; Wed 09:00 - 21:00; Thu 09:00 - 21:00; Fri 09:00 - 20:00; Sat 10:00 - 16:00; Sun 10:00 - 16:00;,1018 Seymour Street,,,,Vancouver,BC,V6B 3M6,49.278383,-123.122335,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17657517&SiteResourceAgencyNum=17657520
LN-9300,Walk In Medical Clinics,17659399,Mile Zero Dr. Harry Neveling Family Practice and Walk-in Clinic,17659400,Walk-In Clinic,"Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available. Includes a family medical practice.",17659402,17659401,,,,N,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 10:00 - 17:00; Sun 10:00 - 16:00; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,10200 8th Street,,,,Dawson Creek,BC,V1G 3P8,55.757051,-120.222749,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17659400&SiteResourceAgencyNum=17659401
LN-9300,Walk In Medical Clinics,17661889,Vivacare,17661890,Walk-in Clinic,"Provides non-emergency health care services on a walk-in basis. Includes a family practice. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory holiday hours may also be available. Please see specific location for details.",17661906,17661905,7783971655,www.vivacare.ca,,Y,,Mon 09:00 - 18:00; Tue 09:00 - 18:00; Wed 09:00 - 18:00; Thu 09:00 - 18:00; Fri 09:00 - 18:00; Sat 10:00 - 16:00; Closed on statutory holidays. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,1024 Ewen Avenue,,,,New Westminster,BC,V3M 5E1,49.185576,-122.948266,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17661890&SiteResourceAgencyNum=17661905
LN-9300,Walk In Medical Clinics,17659351,Ultima Medical Services Inc.,17659352,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis.,17659354,17659353,6046838138,http://www.ultimamedicentre.ca,,Y,,Mon 08:00 - 17:00; Tue 08:00 - 17:00; Wed 08:00 - 17:00; Thu 08:00 - 17:00; Fri 08:00 - 17:00;,1055 Dunsmuir Street,,,,Vancouver,BC,V7X 1L4,49.285914,-123.12012,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17659352&SiteResourceAgencyNum=17659353
LN-9300,Walk In Medical Clinics,17640735,Denning Health Group,17640736,Walk-In Clinic,"Provides non-emergency health care services on a walk-in basis. May include a family practice, weekend, and evening clinic hours. Please see specific location for details.",28093075,28093049,6045828820,www.denninghealth.ca/contact/locations/surrey-fraser-heights/,info@denninghealth.ca,N,,Mon 07:30 - 19:00; Tue 07:30 - 21:00; Wed 07:30 - 19:00; Thu 07:30 - 21:00; Fri 07:30 - 15:00; Sat 07:30 - 15:00; Sun 07:30 - 16:00; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,106-15966 108th Avenue,,,,Surrey,BC,V4N 5V6,49.1986,-122.78,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640736&SiteResourceAgencyNum=28093049
