trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-06-01,Mainland/Southwest,FRASER VALLEY,218,211,13,1,4,,135,50,1,7,,,,,3,4,,99634065,457037,416250,1517628.17,5870
2016-06-08,Mainland/Southwest,FRASER VALLEY,171,167,7,3,3,,90,43,1,20,4,3,1,,,,,79175402,463014,365000,1201376.51,4803.42
2016-06-15,Mainland/Southwest,FRASER VALLEY,276,271,12,2,6,,168,71,,12,2,2,,,3,,,123731443,448302.3,412750,1841612.14,5808.455
2016-06-22,Mainland/Southwest,FRASER VALLEY,863,847,22,6,20,4,536,226,2,31,10,7,,3,3,3,,433147975,501909.6,450000,6909595.45,6600
2016-06-01,Mainland/Southwest,METRO VANCOUVER,1524,1476,14,,,10,554,591,7,300,44,16,15,13,1,3,,1856513623,1218184.8,600900,39339726.7,9740
2016-06-08,Mainland/Southwest,METRO VANCOUVER,1216,1178,8,4,,14,437,480,5,230,37,18,13,6,,,1,1240796859,1020392.2,624000,24579490.17,10178
2016-06-15,Mainland/Southwest,METRO VANCOUVER,1832,1787,15,1,,14,693,768,12,284,36,7,19,10,1,7,1,1996399603,1089737.8,636500,40568660.46,10557.36
2016-06-22,Mainland/Southwest,METRO VANCOUVER,4720,4634,61,11,16,36,2168,1972,21,349,76,31,33,12,2,3,5,5056683260,1071331.2,728238.1,99455607.03,12500
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,51,42,2,1,,,19,15,5,,1,,1,,8,,,42637887,836037,557500,848067.78,9150
2016-06-08,Mainland/Southwest,SQUAMISH-LILLOOET,42,33,3,,,,13,13,4,,1,1,,,8,,,25991999,618857.1,497925,476903.49,7958.5
2016-06-15,Mainland/Southwest,SQUAMISH-LILLOOET,67,56,2,2,1,,16,28,5,2,2,1,1,,9,,,56690688,846129.7,454000,1145804.76,7080
2016-06-22,Mainland/Southwest,SQUAMISH-LILLOOET,171,163,6,,,,68,64,23,2,2,,2,,5,,1,104449398,610815.2,474000,1826200.43,7480
2016-06-01,Mainland/Southwest,SUNSHINE COAST,36,35,2,,,,25,3,,5,,,,,1,,,14947271,415202,305000,223560,3650
2016-06-08,Mainland/Southwest,SUNSHINE COAST,40,36,4,,,,28,2,,2,1,1,,,2,,1,17932200,448305,329000,292961.5,4580
2016-06-15,Mainland/Southwest,SUNSHINE COAST,53,51,8,,,1,36,6,,,,,,,,,2,23364319,440836.2,389000,353114.48,5500
2016-06-22,Mainland/Southwest,SUNSHINE COAST,137,128,15,,1,,87,19,2,4,3,3,,,6,,,62003945,452583.5,380000,965673.19,5500
2016-06-01,Nechako & North Coast,BULKLEY-NECHAKO,22,20,10,,,,9,,,1,2,2,,,,,,2562800,116490.9,86514,29613,865.14
2016-06-08,Nechako & North Coast,BULKLEY-NECHAKO,22,17,10,,,,7,,,,3,2,,1,2,,,3333020,151500.9,134500,38505.2,1345
2016-06-15,Nechako & North Coast,BULKLEY-NECHAKO,23,22,10,,1,1,8,1,,1,,,,,1,,,3513980,152781.7,88500,44124.8,885
2016-06-22,Nechako & North Coast,BULKLEY-NECHAKO,64,60,20,,3,2,31,2,,2,,,,,1,2,1,13656947,213389.8,202000,175331.86,1902
2016-06-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,39,32,1,1,,1,27,2,,,7,7,,,,,,7341467,188242.7,105000,91212.17,950
2016-06-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,18,17,5,,,,12,,,,1,1,,,,,,3173740,176318.9,169000,40917.3,1690
2016-06-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,21,20,1,,,,17,1,,1,1,1,,,,,,6726250,320297.6,315000,98132.5,4300
2016-06-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,63,62,12,,1,,47,1,1,,,,,,1,,,15019625,238406.7,250000,197459.6,3000
2016-06-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,23,20,2,,1,,10,3,1,3,,,,,,3,,5319225,231270.6,194000,67958.85,1850
2016-06-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,38,23,4,,,,13,2,,4,7,3,,4,,8,,12722886,334812.8,254500,186657.25,2960.25
2016-06-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,35,29,4,1,2,,16,,,6,1,1,,,1,1,3,9573128,273517.9,250000,135059.16,3000
2016-06-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,46,42,2,,,,33,3,1,3,,,,,,3,1,14188725,308450.5,296356.6,163820.9,3040
2016-06-01,Thompson/Okanagan,CENTRAL OKANAGAN,185,178,5,1,,,115,52,,5,4,3,,1,2,,1,102432386,553688.6,434000,1720191.53,6530
2016-06-08,Thompson/Okanagan,CENTRAL OKANAGAN,125,122,2,,,2,77,33,,8,3,1,,2,,,,58998514,471988.1,390000,874695.49,5350
2016-06-15,Thompson/Okanagan,CENTRAL OKANAGAN,209,202,8,,2,,131,54,,7,3,3,,,,4,,115876747,554434.2,469000,1862791.79,6870
2016-06-22,Thompson/Okanagan,CENTRAL OKANAGAN,558,545,15,4,5,3,341,152,,25,5,4,,1,4,3,1,301820977,540897.8,455000,4912535.77,6818.5
2016-06-01,Thompson/Okanagan,COLUMBIA SHUSWAP,56,51,5,1,,,39,6,,,3,3,,,1,1,,15533681,277387.2,245000,221430.81,2900
2016-06-08,Thompson/Okanagan,COLUMBIA SHUSWAP,47,41,7,1,1,,24,7,,1,4,3,1,,2,,,19820705,421717.1,300000,333584.05,3700
2016-06-15,Thompson/Okanagan,COLUMBIA SHUSWAP,65,61,9,,1,1,38,7,,5,,,,,3,1,,19416722,298718.8,290000,270320.99,3740
2016-06-22,Thompson/Okanagan,COLUMBIA SHUSWAP,115,108,16,1,3,2,75,10,,1,5,3,1,1,1,1,,34443162,299505.8,262500,477168.38,3200
2016-06-01,Thompson/Okanagan,NORTH OKANAGAN,68,67,6,,5,,41,12,,3,,,,,,1,,23658299,347916.2,362084.4,321070.14,5175
2016-06-08,Thompson/Okanagan,NORTH OKANAGAN,45,39,5,1,1,,21,10,,1,3,3,,,,2,1,16156500,359033.3,330000,242419,4600
2016-06-15,Thompson/Okanagan,NORTH OKANAGAN,74,68,5,,1,,52,7,,3,4,3,,1,,2,,37632259,508544,352100,633730.5,4530
2016-06-22,Thompson/Okanagan,NORTH OKANAGAN,252,248,15,2,64,,118,41,,8,1,,1,,1,2,,85336869,338638.4,332500,1292948.42,4581.25
2016-06-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,101,95,11,,2,3,62,16,,1,2,2,,,1,2,1,44405320,439656.6,319767.4,708279.42,4000
2016-06-08,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,75,67,7,,2,,47,8,,3,4,2,,2,3,,1,23370518,311606.9,247000,332126.54,2800
2016-06-15,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,87,82,6,5,3,,44,18,1,5,2,2,,,,1,2,33438610,384351.8,345000,479573.6,4800
2016-06-22,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,187,181,16,,5,1,113,37,,9,3,3,,,,2,1,77161588,412628.8,350000,1152851.81,4750
2016-06-01,Thompson/Okanagan,THOMPSON-NICOLA,84,74,7,,3,,48,6,2,8,2,1,,1,3,5,,28054898,333986.9,306950.9,382968.11,3775
2016-06-08,Thompson/Okanagan,THOMPSON-NICOLA,78,71,15,1,,,42,11,,2,6,6,,,,1,,27894475,357621.5,267500,424885.1,3179
2016-06-15,Thompson/Okanagan,THOMPSON-NICOLA,74,69,,,1,,55,8,1,4,4,3,,1,,1,,26324667,355738.7,355000,363944.3,5049
2016-06-22,Thompson/Okanagan,THOMPSON-NICOLA,255,248,19,,4,2,167,43,2,11,2,1,,1,1,1,3,81861106,321023.9,295000,1067235.61,3630
2016-06-01,Unknown/Rural,RURAL-UNKNOWN,52,41,12,1,,,22,,,6,2,,,2,5,3,1,19605274,377024.5,370000,291314.48,5050
2016-06-08,Unknown/Rural,RURAL-UNKNOWN,31,27,9,,,,8,,,10,1,,,1,1,1,1,12154575,392083.1,317000,181915.5,3950
2016-06-15,Unknown/Rural,RURAL-UNKNOWN,43,38,6,,1,,21,2,,8,3,2,1,,1,,1,18322419,426102.8,380000,276085.39,5238.1
2016-06-22,Unknown/Rural,RURAL-UNKNOWN,121,111,27,2,2,,54,2,,24,4,,2,2,6,,,51986306,429638.9,341000,790670.89,4700
2016-06-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,20,19,,,,2,14,1,2,,1,1,,,,,,5540900,277045,232750,73914,2655
2016-06-08,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,23,19,,1,,,18,,,,1,1,,,3,,,6050825,263079.3,200000,83742.25,2000
2016-06-15,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,31,29,6,1,,,20,2,,,2,1,1,,,,,6651206,214555,145000,88264.68,1450
2016-06-22,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,56,53,5,2,1,2,39,2,1,1,1,,,1,2,,,16067400,286917.9,213500,226814,2270
2016-06-01,Vancouver Island/Coast,CAPITAL,259,257,4,2,,3,141,74,1,32,1,1,,,,1,,158501400,611974.5,544000,2522950.37,8600
2016-06-08,Vancouver Island/Coast,CAPITAL,141,132,4,,,3,62,49,,14,7,4,2,1,,1,1,102746364,728697.6,465000,1850678.81,6650
2016-06-15,Vancouver Island/Coast,CAPITAL,264,260,8,1,,2,142,96,1,10,4,,1,3,,,,156189684,591627.6,499450,2504377.68,7607.88
2016-06-22,Vancouver Island/Coast,CAPITAL,931,918,16,2,4,8,457,290,93,48,13,6,1,6,,,,533245066,572765.9,470000,8862570.54,7000
2016-06-01,Vancouver Island/Coast,COMOX VALLEY,52,52,2,,,,37,11,,2,,,,,,,,16592110,319079,285000,210393.1,3475
2016-06-08,Vancouver Island/Coast,COMOX VALLEY,42,42,2,,,,30,10,,,,,,,,,,14256781,339447.2,320000,200976.81,4218
2016-06-15,Vancouver Island/Coast,COMOX VALLEY,66,62,4,,,,40,14,1,3,4,4,,,,,,20186238,305852.1,280000,288325.07,3600
2016-06-22,Vancouver Island/Coast,COMOX VALLEY,188,181,9,,,1,140,27,,4,5,1,4,,1,,1,88060691,468407.9,313750,1651758.89,4090
2016-06-01,Vancouver Island/Coast,COWICHAN VALLEY,58,56,6,,1,,39,9,,1,,,,,1,,1,25172843,434014.5,399375,392961.93,5987.5
2016-06-08,Vancouver Island/Coast,COWICHAN VALLEY,47,46,4,1,,,34,6,,1,,,,,1,,,15578952,331467.1,305000,209092.5,3700
2016-06-15,Vancouver Island/Coast,COWICHAN VALLEY,72,69,9,2,1,,50,7,,,1,,1,,,,2,25423503,353104.2,340000,361352.21,4798.63
2016-06-22,Vancouver Island/Coast,COWICHAN VALLEY,202,196,11,,2,,160,15,,8,2,1,,1,3,1,,77030674,381340,351500,1113057.88,4950
2016-06-01,Vancouver Island/Coast,NANAIMO,150,133,13,,,,85,22,2,11,12,1,11,,5,,,57055256,380368.4,339000,822870.96,4383.99
2016-06-08,Vancouver Island/Coast,NANAIMO,110,105,7,,,1,68,19,,10,,,,,5,,,42567363,386976,366975,601782.05,4940
2016-06-15,Vancouver Island/Coast,NANAIMO,137,130,9,,1,,80,34,1,5,1,,,1,2,,4,50025177,365147.3,330000,687699.59,4100
2016-06-22,Vancouver Island/Coast,NANAIMO,521,505,22,5,,2,311,67,77,21,12,5,5,2,2,,2,194906177,374100.1,341000,2858072.13,4600
2016-06-01,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,15,14,1,,,,11,1,,1,1,1,,,,,,3041200,202746.7,192000,38005.45,1920
2016-06-08,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,14,12,,,,,12,,,,1,,,1,,,1,4953500,353821.4,220000,76320,2425
2016-06-15,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,29,27,3,,,,20,4,,,2,1,,1,,,,8687750,299577.6,235000,121487.5,2580
2016-06-22,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,56,54,7,,,,40,5,,2,,,,,1,,1,13807600,246564.3,241500,184284,2830
2016-06-01,Vancouver Island/Coast,STRATHCONA,24,21,1,,,,17,3,,,1,,,1,2,,,7811350,325472.9,289500,110701,3790
2016-06-08,Vancouver Island/Coast,STRATHCONA,16,15,1,,,1,12,1,,,1,1,,,,,,5367500,335468.8,252500,79015,3050
2016-06-15,Vancouver Island/Coast,STRATHCONA,25,23,,,,,19,4,,,2,1,,1,,,,9292375,371695,337000,119724,3160
2016-06-22,Vancouver Island/Coast,STRATHCONA,98,98,,,,,81,15,,2,,,,,,,,27060000,276122.4,272150,348045.5,3125
