trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-07-15,Thompson/Okanagan,CENTRAL OKANAGAN,200,197,8,,2,2,127,43,2,13,1,,,1,1,1,,117168869,585844.3,454250,2007212.2,6600
2016-07-22,Thompson/Okanagan,CENTRAL OKANAGAN,442,440,7,2,,2,242,125,1,61,1,,1,,1,,,214915707,486234.6,420000,3370502.58,6067.09
2016-07-01,Thompson/Okanagan,COLUMBIA SHUSWAP,24,24,3,,,,20,1,,,,,,,,,,7557500,314895.8,300000,112175,4000
2016-07-08,Thompson/Okanagan,COLUMBIA SHUSWAP,56,54,8,,1,,38,3,,4,,,,,1,,1,17103457,305418.9,317500,241486.14,4150
2016-07-15,Thompson/Okanagan,COLUMBIA SHUSWAP,55,50,6,,1,,36,5,,2,1,1,,,1,,3,14901052,270928.2,246450,201590.69,2920
2016-07-22,Thompson/Okanagan,COLUMBIA SHUSWAP,96,86,13,,1,,56,13,,3,3,3,,,7,,,36044073,375459.1,324250,549892.81,4435
2016-07-01,Thompson/Okanagan,NORTH OKANAGAN,50,49,4,,2,,36,6,,1,1,,,1,,,,22454071,449081.4,411000,344153,6100
2016-07-08,Thompson/Okanagan,NORTH OKANAGAN,102,102,7,,2,1,78,11,,3,,,,,,,,44335781,434664.5,385950,689321.61,5719
2016-07-15,Thompson/Okanagan,NORTH OKANAGAN,76,73,9,,3,,46,14,,1,1,1,,,1,,1,28207041,371145.3,344500,406124.49,4740
2016-07-22,Thompson/Okanagan,NORTH OKANAGAN,167,159,8,2,4,2,107,28,,8,5,5,,,2,1,,69079864,413651.9,355000,1007286.09,4640
2016-07-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,56,55,3,1,,1,31,14,1,4,,,,,,1,,21484895,383658.8,314000,310873.08,3930
2016-07-08,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,78,68,6,,,,36,22,,4,1,1,,,5,3,1,32662111,418745,311250,467501.38,3560
2016-07-15,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,75,68,8,1,1,1,38,17,,2,2,2,,,3,1,1,26919902,358932,300387.6,403258.4,4007.75
2016-07-22,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,149,144,10,,5,,95,30,,4,2,1,,1,1,2,,56809919,381274.6,330000,858959.71,4600
2016-07-01,Thompson/Okanagan,THOMPSON-NICOLA,51,49,2,,,,42,5,,,1,1,,,1,,,20679355,405477.5,380000,300765,5200
2016-07-08,Thompson/Okanagan,THOMPSON-NICOLA,94,91,7,1,1,,64,17,,1,2,2,,,,1,,31928312,339662.9,327775,431718.1,3785
2016-07-15,Thompson/Okanagan,THOMPSON-NICOLA,97,94,8,,1,,65,17,1,2,2,1,1,,,1,,32485900,334906.2,315000,466824.25,4250
2016-07-22,Thompson/Okanagan,THOMPSON-NICOLA,190,188,17,1,4,,123,37,,6,1,1,,,1,,,64016076,336926.7,319900,862442.75,4190
2016-07-01,Unknown/Rural,RURAL-UNKNOWN,27,27,5,,,,17,,,5,,,,,,,,10698975,396258.3,359000,162047.5,5180
2016-07-08,Unknown/Rural,RURAL-UNKNOWN,56,51,13,,,,22,,3,13,1,1,,,2,1,1,22615892,403855.2,355000,334710.38,4380.95
2016-07-15,Unknown/Rural,RURAL-UNKNOWN,47,45,10,,1,,27,1,,6,1,,,1,1,,,17106286,363963.5,310000,266599.72,3998
2016-07-22,Unknown/Rural,RURAL-UNKNOWN,113,97,17,,2,,47,3,,28,1,,,1,3,,12,55537124,491479,382500,873537.08,5610
2016-07-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,9,7,1,,,,6,,,,1,,,1,1,,,3292624,365847.1,257000,48756.24,3140
2016-07-08,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,16,12,,1,,,11,,,,4,4,,,,,,10732890,670805.6,362450,199044.8,5249
2016-07-15,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,23,23,2,,,,20,1,,,,,,,,,,6587900,286430.4,220000,90984,2400
2016-07-22,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,59,56,3,2,,,51,,,,,,,,3,,,15159394,256938.9,215000,207496.44,2300
2016-07-01,Vancouver Island/Coast,CAPITAL,185,183,3,,1,2,109,59,,9,2,1,1,,,,,109559507,592213.5,485900,1803377.23,7600
2016-07-08,Vancouver Island/Coast,CAPITAL,222,219,5,2,,,106,64,2,40,3,,2,1,,,,126258671,568732.8,429847.3,2073468.63,6280
2016-07-15,Vancouver Island/Coast,CAPITAL,253,251,6,1,,3,146,84,,11,,,,,,,2,168942877,667758.4,542500,2880989.92,8500
2016-07-22,Vancouver Island/Coast,CAPITAL,648,638,12,2,3,11,335,205,1,69,8,2,3,3,,,2,403383561,622505.5,495625,6789256.93,7200
2016-07-01,Vancouver Island/Coast,COMOX VALLEY,50,49,4,,,,32,10,,3,,,,,,,1,17883700,357674,289000,255434,3730
2016-07-08,Vancouver Island/Coast,COMOX VALLEY,50,50,2,,,,38,7,,3,,,,,,,,20534050,410681,394500,306896,5890
2016-07-15,Vancouver Island/Coast,COMOX VALLEY,82,81,5,1,,,57,14,1,3,1,,1,,,,,29244449,356639.6,333250,383467.69,3950
2016-07-22,Vancouver Island/Coast,COMOX VALLEY,132,130,4,,,,93,20,,13,1,1,,,,1,,48131067,364629.3,341000,632180.33,4365
2016-07-01,Vancouver Island/Coast,COWICHAN VALLEY,51,51,7,1,,,35,6,,2,,,,,,,,18104171,354983.7,330000,247957.41,3900
2016-07-08,Vancouver Island/Coast,COWICHAN VALLEY,53,53,2,,1,,42,7,,1,,,,,,,,19765556,372935,352000,285012.5,5000
2016-07-15,Vancouver Island/Coast,COWICHAN VALLEY,67,64,6,1,,,50,7,,,1,,,1,,1,1,26493670,395427.9,375000,381922.7,5250
2016-07-22,Vancouver Island/Coast,COWICHAN VALLEY,153,150,9,,1,1,124,13,1,1,1,1,,,1,,1,58429059,381889.3,350000,859131.78,4898
2016-07-01,Vancouver Island/Coast,NANAIMO,85,82,6,,,,55,15,,6,2,,1,1,1,,,38983537,458629.8,375000,600421.77,5300
2016-07-08,Vancouver Island/Coast,NANAIMO,137,133,7,1,,1,91,24,1,8,,,,,4,,,55651864,406218,365000,851714.16,4960
2016-07-15,Vancouver Island/Coast,NANAIMO,146,136,9,,1,,89,20,3,14,,,,,10,,,53453683,366121.1,325000,771362.52,4000
2016-07-22,Vancouver Island/Coast,NANAIMO,315,306,17,2,,1,204,57,4,21,7,6,,1,2,,,123905230,393349.9,355840.1,1804793.86,4980
2016-07-01,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,19,19,4,,,,13,1,,1,,,,,,,,5110109,268953.1,189900,71163.18,1899
2016-07-08,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,25,21,3,,,,15,1,,2,4,1,,3,,,,4779549,191182,135000,60894.49,1350
2016-07-15,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,19,19,1,,,1,17,,,,,,,,,,,4466800,235094.7,220000,60836,2400
2016-07-22,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,57,55,4,,,2,45,3,,1,,,,,2,,,13124300,230250.9,207500,167186,2150
2016-07-01,Vancouver Island/Coast,STRATHCONA,15,14,,,,,12,2,,,1,1,,,,,,10227100,681806.7,307000,215833,4140
2016-07-08,Vancouver Island/Coast,STRATHCONA,26,26,1,,,,21,3,,1,,,,,,,,6950300,267319.2,252000,84851.99,2650
2016-07-15,Vancouver Island/Coast,STRATHCONA,29,29,,,,,22,7,,,,,,,,,,8078550,278570.7,265000,103839.75,3280
2016-07-22,Vancouver Island/Coast,STRATHCONA,70,69,,,,,58,7,,4,1,1,,,,,,22125800,316082.9,315000,276436,4100
